Time (s),Counter (),coil1 (V),coil2 (V)
0.000000,0.063439,-4.230163,2.825491
0.000100,0.057058,-4.192720,2.986536
0.000200,0.053867,-4.077695,3.009611
0.000300,0.050677,-3.920786,2.957211
0.000400,0.057058,-3.802271,2.942790
0.000500,0.060248,-3.773079,2.959295
0.000600,0.057058,-3.852247,3.033648
0.000700,0.057058,-3.909522,3.077074
0.000800,0.050677,-4.092926,3.277379
0.000900,0.053867,-4.123864,3.458294
0.001000,0.057058,-4.103397,3.589854
0.001100,0.063439,-4.065955,3.665169
0.001200,0.063439,-4.082138,3.684718
0.001300,0.063439,-4.155436,3.676225
0.001400,0.060248,-4.246028,3.663726
0.001500,0.060248,-4.279028,3.705389
0.001600,0.063439,-4.247931,3.798011
0.001700,0.057058,-4.166224,3.910662
0.001800,0.066630,-4.104508,4.013699
0.001900,0.057058,-4.108792,4.027480
0.002000,0.063439,-4.182566,3.953126
0.002100,0.060248,-4.248884,3.890151
0.002200,0.060248,-4.237936,3.894477
0.002300,0.057058,-4.164638,3.963542
0.002400,0.057058,-4.057229,4.060490
0.002500,0.060248,-3.978378,4.124748
0.002600,0.060248,-3.995830,4.134202
0.002700,0.063439,-4.073253,4.078758
0.002800,0.050677,-4.132273,4.016743
0.002900,0.053867,-4.113234,4.020910
0.003000,0.053867,-4.033748,4.101352
0.003100,0.053867,-3.905079,4.182756
0.003200,0.053867,-3.805762,4.202145
0.003300,0.060248,-3.799415,4.171379
0.003400,0.066630,-3.853992,4.103275
0.003500,0.057058,-3.886834,4.065137
0.003600,0.057058,-3.858911,4.089173
0.003700,0.060248,-3.793545,4.159039
0.003800,0.060248,-3.729290,4.207593
0.003900,0.060248,-3.701208,4.224579
0.004000,0.069820,-3.592371,4.093340
0.004100,0.060248,-3.711045,4.176346
0.004200,0.057058,-3.731670,4.213683
0.004300,0.057058,-3.722468,4.309669
0.004400,0.053867,-3.668049,4.392034
0.004500,0.050677,-3.590785,4.368639
0.004600,0.057058,-3.484328,4.231470
0.004700,0.060248,-3.335985,4.045427
0.004800,0.050677,-3.166860,3.867075
0.004900,0.053867,-3.012330,3.755386
0.005000,0.053867,-2.867479,3.742085
0.005100,0.053867,-2.731036,3.792883
0.005200,0.050677,-2.580790,3.765641
0.005300,0.060248,-2.388183,3.623184
0.005400,0.066630,-2.105461,3.452685
0.005500,0.063439,-1.737700,3.330099
0.005600,0.057058,-1.333765,3.261194
0.005700,0.057058,-1.005826,3.255746
0.005800,0.057058,-0.758484,3.295326
0.005900,0.060248,-0.582536,3.336348
0.006000,0.060248,-0.443237,3.345482
0.006100,0.060248,-0.322977,3.310389
0.006200,0.060248,-0.213030,3.269206
0.006300,0.050677,-0.106097,3.224498
0.006400,0.057058,-0.000115,3.154311
0.006500,0.057058,0.099202,3.074189
0.006600,0.053867,0.191063,2.988619
0.006700,0.057058,0.272770,2.909299
0.006800,0.063439,0.347814,2.856739
0.006900,0.057058,0.430156,2.769085
0.007000,0.057058,0.517733,2.601470
0.007100,0.057058,0.614988,2.339792
0.007200,0.050677,0.710498,1.977481
0.007300,0.057058,0.809975,1.592576
0.007400,0.063439,0.926110,1.354453
0.007500,0.057058,1.016702,1.055759
0.007600,0.063439,1.140769,0.849846
0.007700,0.060248,1.287525,0.681430
0.007800,0.057058,1.474737,0.531762
0.007900,0.060248,1.706373,0.389305
0.008000,0.060248,1.991158,0.270404
0.008100,0.063439,2.335755,0.168169
0.008200,0.060248,2.715574,0.072824
0.008300,0.060248,3.064138,-0.014669
0.008400,0.057058,3.302279,-0.084696
0.008500,0.053867,3.427933,-0.160491
0.008600,0.053867,3.510433,-0.241895
0.008700,0.060248,3.588968,-0.329388
0.008800,0.063439,3.697011,-0.428098
0.008900,0.063439,3.867089,-0.532898
0.009000,0.050677,4.085239,-0.676636
0.009100,0.050677,4.282763,-0.864763
0.009200,0.050677,4.412067,-1.055132
0.009300,0.053867,4.479654,-1.193102
0.009400,0.050677,4.479971,-1.352545
0.009500,0.057058,4.435390,-1.514230
0.009600,0.057058,4.373197,-1.699633
0.009700,0.057058,4.319096,-1.940479
0.009800,0.057058,4.307355,-2.234526
0.009900,0.060248,4.335596,-2.555655
0.010000,0.057058,4.362250,-2.821659
0.010100,0.063439,4.317985,-2.995524
0.010200,0.060248,4.185667,-3.024528
0.010300,0.053867,4.016383,-2.967642
0.010400,0.057058,3.904214,-2.949534
0.010500,0.053867,3.891363,-2.968603
0.010600,0.057058,3.975926,-3.041995
0.010700,0.057058,4.030503,-3.106733
0.010800,0.063439,4.198518,-3.295180
0.010900,0.050677,4.215335,-3.459750
0.011000,0.057058,4.193917,-3.600124
0.011100,0.047486,4.166946,-3.663901
0.011200,0.047486,4.195345,-3.678323
0.011300,0.057058,4.277211,-3.670150
0.011400,0.063439,4.352413,-3.674316
0.011500,0.053867,4.370341,-3.722390
0.011600,0.053867,4.323538,-3.811645
0.011700,0.063439,4.239134,-3.926700
0.011800,0.060248,4.188047,-4.024128
0.011900,0.057058,4.209783,-4.031179
0.012000,0.057058,4.280225,-3.970287
0.012100,0.060248,4.333533,-3.890325
0.012200,0.060248,4.312591,-3.902023
0.012300,0.066630,4.231518,-3.986311
0.012400,0.060248,4.114590,-4.079252
0.012500,0.053867,4.055094,-4.135658
0.012600,0.057058,4.083018,-4.146555
0.012700,0.057058,4.165994,-4.098962
0.012800,0.060248,4.205657,-4.035185
0.012900,0.063439,4.184715,-4.045281
0.013000,0.053867,4.092061,-4.116429
0.013100,0.057058,3.958315,-4.195429
0.013200,0.053867,3.871690,-4.226837
0.013300,0.057058,3.871214,-4.187097
0.013400,0.053867,3.928488,-4.124441
0.013500,0.050677,3.950541,-4.101206
0.013600,0.060248,3.916906,-4.119955
0.013700,0.063439,3.855824,-4.183571
0.013800,0.060248,3.812512,-4.241419
0.013900,0.057058,3.792204,-4.238214
0.014000,0.063439,3.681463,-4.094476
0.014100,0.060248,3.785382,-4.170752
