Time (s),Counter (),coil1 (V),coil2 (V)
0.000000,0.063439,-4.022007,4.243649
0.000100,0.057058,-3.983296,4.139170
0.000200,0.047486,-4.036286,4.101031
0.000300,0.060248,-4.117676,4.155674
0.000400,0.060248,-4.139888,4.280344
0.000500,0.057058,-4.096734,4.353896
0.000600,0.060248,-3.983137,4.347486
0.000700,0.060248,-3.858593,4.251500
0.000800,0.057058,-3.799891,4.112248
0.000900,0.060248,-3.830194,4.069463
0.001000,0.057058,-3.882868,4.162565
0.001100,0.057058,-3.890800,4.292363
0.001200,0.060248,-3.839238,4.342519
0.001300,0.057058,-3.774348,4.321527
0.001400,0.057058,-3.726752,4.194774
0.001500,0.053867,-3.714376,4.026679
0.001600,0.057058,-3.675665,3.868838
0.001700,0.053867,-3.771651,3.954569
0.001800,0.053867,-3.746901,3.963542
0.001900,0.060248,-3.707237,3.966908
0.002000,0.063439,-3.648059,3.924603
0.002100,0.063439,-3.551438,3.899285
0.002200,0.060248,-3.425784,3.934057
0.002300,0.060248,-3.263163,4.005366
0.002400,0.063439,-3.106095,4.079238
0.002500,0.053867,-2.950772,4.170417
0.002600,0.060248,-2.810363,4.265441
0.002700,0.057058,-2.674713,4.351813
0.002800,0.060248,-2.508919,4.415269
0.002900,0.063439,-2.278712,4.448761
0.003000,0.060248,-1.951249,4.453407
0.003100,0.053867,-1.554295,4.407257
0.003200,0.057058,-1.178760,4.232912
0.003300,0.057058,-0.894292,3.968830
0.003400,0.060248,-0.677411,3.683757
0.003500,0.057058,-0.525738,3.446275
0.003600,0.053867,-0.392627,3.196936
0.003700,0.063439,-0.279665,2.876288
0.003800,0.060248,-0.174794,2.493145
0.003900,0.063439,-0.068019,2.122983
0.004000,0.060248,0.037803,1.828134
0.004100,0.057058,0.131885,1.594819
0.004200,0.057058,0.217559,1.412301
0.004300,0.057058,0.300059,1.258147
0.004400,0.057058,0.374151,1.128189
0.004500,0.057058,0.461569,1.007205
0.004600,0.057058,0.548829,0.888144
0.004700,0.053867,0.646085,0.795523
0.004800,0.053867,0.746830,0.706107
0.004900,0.053867,0.804739,0.618934
0.005000,0.050677,0.936740,0.559324
0.005100,0.057058,1.065091,0.494265
0.005200,0.057058,1.195188,0.429046
0.005300,0.066630,1.358761,0.353411
0.005400,0.063439,1.569137,0.266879
0.005500,0.063439,1.821239,0.178424
0.005600,0.063439,2.131567,0.082278
0.005700,0.060248,2.496155,-0.031655
0.005800,0.057058,2.876609,-0.160651
0.005900,0.057058,3.177735,-0.294615
0.006000,0.063439,3.360822,-0.434989
0.006100,0.063439,3.458712,-0.602444
0.006200,0.053867,3.537087,-0.782397
0.006300,0.053867,3.622126,-1.011386
0.006400,0.053867,3.759680,-1.291972
0.006500,0.050677,3.955777,-1.599320
0.006600,0.057058,4.172182,-1.850422
0.006700,0.063439,4.341466,-2.032779
0.006800,0.057058,4.443005,-2.138700
0.006900,0.057058,4.474418,-2.263691
0.007000,0.060248,4.452207,-2.391405
0.007100,0.060248,4.395726,-2.524407
0.007200,0.063439,4.329408,-2.640744
0.007300,0.060248,4.295932,-2.796822
0.007400,0.060248,4.306403,-2.959629
0.007500,0.057058,4.339880,-3.110098
0.007600,0.053867,4.347019,-3.296622
0.007700,0.060248,4.257379,-3.495484
0.007800,0.057058,4.094917,-3.637941
0.007900,0.053867,3.941656,-3.712455
0.008000,0.063439,3.869151,-3.732485
0.008100,0.053867,3.908974,-3.737773
0.008200,0.050677,3.910560,-3.707647
0.008300,0.060248,4.153619,-3.961473
0.008400,0.057058,4.169802,-3.999451
0.008500,0.069820,4.195980,-4.073965
0.008600,0.063439,4.167739,-4.060664
0.008700,0.060248,4.159013,-3.981504
0.008800,0.057058,4.215812,-3.904587
0.008900,0.057058,4.303547,-3.935354
0.009000,0.060248,4.354317,-4.046402
0.009100,0.057058,4.341625,-4.162419
0.009200,0.060248,4.273879,-4.215300
0.009300,0.057058,4.198042,-4.193666
0.009400,0.057058,4.174720,-4.117230
0.009500,0.053867,4.226283,-4.057940
0.009600,0.057058,4.300692,-4.076689
0.009700,0.057058,4.319571,-4.184853
0.009800,0.057058,4.269278,-4.282121
0.009900,0.066630,4.166946,-4.310163
0.010000,0.057058,4.065724,-4.253438
0.010100,0.057058,4.048114,-4.163220
0.010200,0.053867,4.108561,-4.127165
0.010300,0.060248,4.180273,-4.177321
0.010400,0.060248,4.192648,-4.277634
0.010500,0.063439,4.136484,-4.362243
0.010600,0.057058,4.022253,-4.362403
0.010700,0.053867,3.901834,-4.271545
0.010800,0.053867,3.850906,-4.148638
0.010900,0.063439,3.888031,-4.100565
0.011000,0.057058,3.934358,-4.180847
0.011100,0.057058,3.926743,-4.313529
0.011200,0.057058,3.879940,-4.383876
0.011300,0.063439,3.823776,-4.354391
0.011400,0.053867,3.787762,-4.237894
0.011500,0.050677,3.789983,-4.064670
0.011600,0.057058,3.833137,-3.918368
0.011700,0.053867,3.850271,-3.956025
0.011800,0.063439,3.818382,-3.960191
0.011900,0.057058,3.785064,-3.987593
0.012000,0.053867,3.726362,-3.955865
0.012100,0.057058,3.625934,-3.941443
0.012200,0.060248,3.483621,-3.977818
0.012300,0.057058,3.314178,-4.055376
0.012400,0.057058,3.152509,-4.118192
0.012500,0.060248,2.998138,-4.205044
0.012600,0.063439,2.866455,-4.299428
0.012700,0.053867,2.721603,-4.392048
0.012800,0.050677,2.543593,-4.462555
0.012900,0.053867,2.292919,-4.515116
0.013000,0.053867,1.945783,-4.534505
0.013100,0.050677,1.540262,-4.498130
0.013200,0.057058,1.181702,-4.331476
0.013300,0.063439,0.901201,-4.044960
0.013400,0.063439,0.709388,-3.747868
0.013500,0.057058,0.573738,-3.500772
0.013600,0.060248,0.454906,-3.281399
0.013700,0.057058,0.348925,-2.994562
0.013800,0.060248,0.243419,-2.608696
0.013900,0.066630,0.139977,-2.230200
0.014000,0.053867,0.033361,-1.904584
0.014100,0.050677,-0.062308,-1.658770
0.014200,0.057058,-0.149727,-1.466798
0.014300,0.053867,-0.229688,-1.303510
0.014400,0.060248,-0.303780,-1.151278
0.014500,0.057058,-0.387391,-1.022923
0.014600,0.053867,-0.472113,-0.914598
0.014700,0.057058,-0.568257,-0.810440
0.014800,0.057058,-0.663767,-0.728075
0.014900,0.057058,-0.734210,-0.633691
0.015000,0.060248,-0.857643,-0.561902
0.015100,0.063439,-0.979490,-0.503733
0.015200,0.063439,-1.104351,-0.435470
0.015300,0.063439,-1.256818,-0.353104
0.015400,0.060248,-1.450218,-0.278591
0.015500,0.060248,-1.685820,-0.185169
0.015600,0.060248,-1.972984,-0.084055
0.015700,0.063439,-2.317741,0.025231
0.015800,0.060248,-2.692007,0.151183
0.015900,0.060248,-3.019787,0.293159
0.016000,0.053867,-3.240951,0.438500
0.016100,0.057058,-3.361053,0.592013
0.016200,0.057058,-3.448154,0.796485
0.016300,0.057058,-3.533986,1.024351
0.016400,0.057058,-3.661703,1.299330
0.016500,0.066630,-3.842887,1.612606
0.016600,0.057058,-4.055008,1.871560
0.016700,0.063439,-4.213821,2.058244
0.016800,0.053867,-4.310124,2.177305
0.016900,0.063439,-4.344235,2.286591
0.017000,0.060248,-4.323769,2.397480
0.017100,0.063439,-4.272523,2.537213
0.017200,0.060248,-4.211124,2.668933
0.017300,0.053867,-4.168446,2.824369
0.017400,0.053867,-4.164638,2.980447
0.017500,0.057058,-4.196369,3.158638
0.017600,0.057058,-4.200177,3.342117
0.017700,0.060248,-4.144331,3.523353
0.017800,0.060248,-4.015820,3.650105
0.017900,0.057058,-3.865574,3.722696
0.018000,0.050677,-3.779583,3.738400
0.018100,0.057058,-3.796718,3.748335
0.018200,0.057058,-3.759752,3.682635
0.018300,0.057058,-4.021532,3.904252
0.018400,0.069820,-4.108157,4.005366
0.018500,0.060248,-4.143061,4.077636
0.018600,0.060248,-4.111648,4.058246
0.018700,0.060248,-4.074681,3.983252
0.018800,0.057058,-4.110219,3.918994
0.018900,0.057058,-4.196845,3.948479
0.019000,0.063439,-4.271254,4.065618
0.019100,0.057058,-4.282360,4.165930
0.019200,0.060248,-4.226830,4.212401
0.019300,0.060248,-4.147662,4.191890
0.019400,0.057058,-4.102128,4.113210
0.019500,0.050677,-4.138460,4.056163
0.019600,0.057058,-4.212869,4.085648
0.019700,0.057058,-4.261576,4.192691
0.019800,0.060248,-4.230163,4.278421
0.019900,0.057058,-4.140205,4.298772
0.020000,0.053867,-4.040094,4.245411
0.020100,0.057058,-3.996306,4.157758
0.020200,0.066630,-4.038032,4.127311
0.020300,0.060248,-4.117994,4.176987
0.020400,0.066630,-4.153691,4.273774
0.020500,0.053867,-4.120691,4.359985
0.020600,0.050677,-4.013758,4.349890
0.020700,0.053867,-3.890483,4.256308
0.020800,0.060248,-3.823055,4.152630
0.020900,0.050677,-3.846694,4.111447
0.021000,0.060248,-3.904127,4.185320
0.021100,0.060248,-3.915550,4.302778
0.021200,0.053867,-3.869382,4.370882
0.021300,0.050677,-3.802747,4.357742
0.021400,0.057058,-3.751184,4.237239
0.021500,0.063439,-3.729131,4.081001
0.021600,0.063439,-3.801636,4.030364
0.021700,0.060248,-3.789420,3.989983
0.021800,0.066630,-3.772603,3.985175
0.021900,0.057058,-3.741189,3.998956
0.022000,0.053867,-3.682328,3.971875
0.022100,0.060248,-3.577458,3.947678
0.022200,0.060248,-3.439904,3.986778
0.022300,0.066630,-3.284264,4.052638
