Time (s),Counter (),coil1 (V),coil2 (V)
0.000000,0.060248,4.076672,4.209196
0.000100,0.057058,4.104119,4.089334
0.000200,0.053867,4.063503,3.986457
0.000300,0.057058,3.966407,4.000078
0.000400,0.057058,3.834406,4.139811
0.000500,0.060248,3.767612,4.261275
0.000600,0.053867,3.782843,4.315758
0.000700,0.057058,3.829170,4.292042
0.000800,0.060248,3.835675,4.201344
0.000900,0.063439,3.792045,4.134042
0.001000,0.057058,3.736516,4.204709
0.001100,0.053867,3.695266,4.378573
0.001200,0.057058,3.687333,4.525036
0.001300,0.057058,3.617049,4.493468
0.001400,0.057058,3.711766,4.512217
0.001500,0.057058,3.731281,4.399726
0.001600,0.057058,3.698439,4.278902
0.001700,0.057058,3.639261,4.271050
0.001800,0.057058,3.551366,4.344602
0.001900,0.057058,3.420159,4.358222
0.002000,0.053867,3.256903,4.262557
0.002100,0.060248,3.093807,4.028922
0.002200,0.057058,2.940546,3.767083
0.002300,0.057058,2.808070,3.589533
0.002400,0.057058,2.677656,3.556363
0.002500,0.063439,2.512179,3.596744
0.002600,0.063439,2.286572,3.592738
0.002700,0.053867,1.961965,3.517263
0.002800,0.053867,1.568661,3.359423
0.002900,0.057058,1.193919,3.191007
0.003000,0.057058,0.899297,3.105597
0.003100,0.063439,0.692570,3.194052
0.003200,0.060248,0.547719,3.340194
0.003300,0.063439,0.423651,3.414547
0.003400,0.063439,0.318304,3.397722
0.003500,0.060248,0.206929,3.347726
0.003600,0.057058,0.098568,3.268565
0.003700,0.057058,-0.007889,3.178508
0.003800,0.057058,-0.110063,3.124025
0.003900,0.060248,-0.200496,3.105437
0.004000,0.057058,-0.276967,3.104315
0.004100,0.060248,-0.353439,3.094220
0.004200,0.057058,-0.436415,3.069062
0.004300,0.050677,-0.529545,3.029642
0.004400,0.053867,-0.622358,2.985094
0.004500,0.053867,-0.722469,2.900645
0.004600,0.060248,-0.781489,2.730467
0.004700,0.060248,-0.914441,2.697456
0.004800,0.063439,-1.027879,2.626308
0.004900,0.060248,-1.156072,2.584645
0.005000,0.063439,-1.310284,2.509490
0.005100,0.057058,-1.504795,2.330819
0.005200,0.057058,-1.740714,1.990461
0.005300,0.060248,-2.025182,1.559886
0.005400,0.053867,-2.373111,1.151425
0.005500,0.057058,-2.747377,0.835264
0.005600,0.060248,-3.085470,0.586405
0.005700,0.060248,-3.311235,0.368794
0.005800,0.053867,-3.438794,0.157432
0.005900,0.060248,-3.520977,0.008726
0.006000,0.057058,-3.607443,-0.103605
0.006100,0.057058,-3.730083,-0.214493
0.006200,0.060248,-3.913488,-0.355508
0.006300,0.060248,-4.129893,-0.513508
0.006400,0.060248,-4.295528,-0.636575
0.006500,0.066630,-4.394370,-0.724069
0.006600,0.057058,-4.435620,-0.802588
0.006700,0.053867,-4.421183,-0.878223
0.006800,0.053867,-4.370889,-0.915400
0.006900,0.053867,-4.308062,-0.918124
0.007000,0.057058,-4.261259,-0.929661
0.007100,0.053867,-4.253643,-0.949211
0.007200,0.060248,-4.279187,-0.950813
0.007300,0.060248,-4.288389,-0.951134
0.007400,0.063439,-4.224768,-0.945365
0.007500,0.057058,-4.094830,-1.010264
0.007600,0.057058,-3.950930,-1.177558
0.007700,0.060248,-3.863512,-1.407989
0.007800,0.060248,-3.870810,-1.675276
0.007900,0.053867,-3.956483,-2.029735
0.008000,0.057058,-4.189388,-2.512229
0.008100,0.063439,-4.171619,-2.844574
0.008200,0.057058,-4.192403,-3.086863
0.008300,0.057058,-4.177172,-3.196630
0.008400,0.057058,-4.149724,-3.237171
0.008500,0.060248,-4.181614,-3.268099
0.008600,0.060248,-4.258086,-3.317774
0.008700,0.063439,-4.333288,-3.380750
0.008800,0.060248,-4.346139,-3.473211
0.008900,0.060248,-4.304730,-3.577209
0.009000,0.057058,-4.227306,-3.677201
0.009100,0.053867,-4.178917,-3.787769
0.009200,0.057058,-4.209696,-3.854591
0.009300,0.053867,-4.281408,-3.852988
0.009400,0.057058,-4.330274,-3.810524
0.009500,0.057058,-4.306475,-3.773347
0.009600,0.053867,-4.217311,-3.815011
0.009700,0.066630,-4.121008,-3.918528
