Time (s),Counter (),coil1 (V),coil2 (V)
0.000000,0.060248,-0.090294,0.083172
0.000100,0.060248,-0.084738,0.075319
0.000200,0.060248,-0.084432,0.072114
0.000300,0.066630,-0.085334,0.077803
0.000400,0.057058,-0.087074,0.083172
0.000500,0.063439,-0.086462,0.079967
0.000600,0.060248,-0.083611,0.083012
0.000700,0.057058,-0.078651,0.084054
0.000800,0.053867,-0.075446,0.076200
0.000900,0.063439,-0.074818,0.074357
0.001000,0.057058,-0.074271,0.082050
0.001100,0.050677,-0.072805,0.083172
0.001200,0.057058,-0.070696,0.088701
0.001300,0.060248,-0.069246,0.096314
0.001400,0.060248,-0.064705,0.099519
0.001500,0.066630,-0.060614,0.093910
0.001600,0.063439,-0.057394,0.086458
0.001700,0.057058,-0.056105,0.096875
0.001800,0.060248,-0.054688,0.085736
0.001900,0.063439,-0.051950,0.100080
0.002000,0.063439,-0.051564,0.098397
0.002100,0.053867,-0.048923,0.095032
0.002200,0.060248,-0.049454,0.094471
0.002300,0.057058,-0.047908,0.093109
0.002400,0.057058,-0.044752,0.088862
0.002500,0.060248,-0.041193,0.094070
0.002600,0.060248,-0.039582,0.091826
0.002700,0.057058,-0.038052,0.091987
0.002800,0.057058,-0.036925,0.093669
0.002900,0.057058,-0.032964,0.089903
0.003000,0.060248,-0.028293,0.085416
0.003100,0.063439,-0.021530,0.089102
0.003200,0.066630,-0.013880,0.091105
0.003300,0.063439,-0.005168,0.087419
0.003400,0.057058,0.002208,0.084614
0.003500,0.060248,0.008295,0.081329
0.003600,0.066630,0.011758,0.080207
0.003700,0.060248,0.015091,0.079887
0.003800,0.053867,0.018022,0.072114
0.003900,0.053867,0.021324,0.065623
0.004000,0.060248,0.023610,0.055286
0.004100,0.050677,0.025817,0.049196
0.004200,0.053867,0.029521,0.047353
0.004300,0.060248,0.031340,0.043667
0.004400,0.060248,0.032468,0.047032
0.004500,0.060248,0.033885,0.034531
0.004600,0.057058,0.035544,0.039740
0.004700,0.060248,0.038410,0.037176
0.004800,0.057058,0.041599,0.030284
0.004900,0.060248,0.043805,0.028682
0.005000,0.060248,0.045850,0.025396
0.005100,0.060248,0.048121,0.027159
0.005200,0.053867,0.050327,0.026919
0.005300,0.063439,0.053371,0.030284
0.005400,0.060248,0.057590,0.030525
0.005500,0.057058,0.064161,0.020268
0.005600,0.057058,0.069330,0.024675
0.005700,0.060248,0.076787,0.023393
0.005800,0.060248,0.083599,0.015139
0.005900,0.057058,0.088945,0.015299
0.006000,0.066630,0.094018,0.006325
0.006100,0.060248,0.096273,0.003440
0.006200,0.060248,0.097142,-0.003692
0.006300,0.060248,0.098914,-0.006817
0.006400,0.057058,0.101410,-0.012587
0.006500,0.063439,0.103036,-0.022764
0.006600,0.060248,0.103133,-0.025809
0.006700,0.053867,0.103052,-0.037428
0.006800,0.050677,0.105838,-0.038951
0.006900,0.053867,0.106708,-0.035264
0.007000,0.053867,0.106869,-0.041274
0.007100,0.063439,0.107207,-0.042236
0.007200,0.053867,0.106531,-0.039511
0.007300,0.060248,0.108608,-0.038951
0.007400,0.063439,0.109575,-0.048807
0.007500,0.066630,0.110525,-0.045201
0.007600,0.060248,0.111861,-0.050009
0.007700,0.066630,0.112570,-0.053374
0.007800,0.053867,0.111088,-0.052493
0.007900,0.057058,0.110283,-0.048887
0.008000,0.060248,0.108302,-0.053775
0.008100,0.060248,0.109446,-0.055137
0.008200,0.057058,0.110219,-0.057221
0.008300,0.053867,0.113826,-0.063551
0.008400,0.063439,0.113327,-0.052894
0.008500,0.057058,0.109140,-0.062510
0.008600,0.057058,0.107900,-0.074530
0.008700,0.066630,0.102827,-0.065314
0.008800,0.060248,0.102118,-0.065475
0.008900,0.053867,0.102408,-0.068520
0.009000,0.069820,0.101555,-0.061388
0.009100,0.060248,0.103552,-0.073648
0.009200,0.060248,0.100299,-0.077575
0.009300,0.060248,0.095854,-0.081341
0.009400,0.063439,0.093229,-0.077575
0.009500,0.060248,0.092408,-0.074770
0.009600,0.057058,0.094388,-0.075571
0.009700,0.063439,0.095934,-0.075090
0.009800,0.063439,0.094727,-0.083104
0.009900,0.057058,0.093857,-0.090636
0.010000,0.050677,0.088607,-0.079979
0.010100,0.057058,0.086336,-0.087271
0.010200,0.057058,0.085032,-0.084867
0.010300,0.066630,0.086997,-0.081020
0.010400,0.063439,0.087625,-0.084065
0.010500,0.060248,0.085934,-0.083745
0.010600,0.063439,0.083518,-0.092079
0.010700,0.066630,0.078783,-0.084386
0.010800,0.063439,0.076030,-0.087511
0.010900,0.057058,0.075176,-0.083985
0.011000,0.057058,0.075804,-0.086309
0.011100,0.060248,0.073823,-0.093361
0.011200,0.053867,0.070264,-0.088873
0.011300,0.057058,0.070683,-0.099531
0.011400,0.060248,0.066077,-0.099852
0.011500,0.053867,0.062872,-0.093201
0.011600,0.057058,0.059394,-0.093361
0.011700,0.060248,0.058057,-0.102336
0.011800,0.063439,0.055787,-0.096246
0.011900,0.063439,0.055400,-0.100012
0.012000,0.060248,0.053339,-0.091999
0.012100,0.063439,0.050923,-0.098009
0.012200,0.057058,0.050585,-0.098730
0.012300,0.060248,0.048475,-0.094723
0.012400,0.060248,0.047976,-0.096005
0.012500,0.057058,0.044594,-0.091518
0.012600,0.057058,0.042130,-0.088553
0.012700,0.050677,0.040423,-0.093441
0.012800,0.057058,0.039376,-0.091999
0.012900,0.050677,0.036542,-0.090396
0.013000,0.057058,0.031115,-0.096246
0.013100,0.057058,0.023739,-0.084706
0.013200,0.057058,0.015510,-0.089034
0.013300,0.066630,0.007941,-0.087752
0.013400,0.060248,0.001226,-0.087591
0.013500,0.063439,-0.003396,-0.084466
0.013600,0.053867,-0.006134,-0.084867
0.013700,0.060248,-0.009339,-0.075491
