Time (s),Counter (),coil1 (V),coil2 (V)
0.000000,0.069820,-0.057732,-0.097528
0.000100,0.060248,-0.055719,-0.096406
0.000200,0.066630,-0.055542,-0.093040
0.000300,0.060248,-0.053529,-0.093201
0.000400,0.063439,-0.052289,-0.094322
0.000500,0.066630,-0.050082,-0.095605
0.000600,0.069820,-0.046588,-0.091357
0.000700,0.060248,-0.043737,-0.091357
0.000800,0.060248,-0.042787,-0.098409
0.000900,0.063439,-0.042707,-0.085908
0.001000,0.063439,-0.037907,-0.093281
0.001100,0.063439,-0.032690,-0.094643
0.001200,0.063439,-0.025153,-0.090476
0.001300,0.069820,-0.013864,-0.089274
0.001400,0.063439,-0.004797,-0.091678
0.001500,0.066630,-0.000192,-0.087030
0.001600,0.063439,0.005815,-0.085187
0.001700,0.063439,0.010405,-0.089114
0.001800,0.060248,0.015478,-0.082703
0.001900,0.063439,0.019069,-0.076292
0.002000,0.066630,0.019423,-0.077494
0.002100,0.069820,0.023015,-0.066116
0.002200,0.069820,0.025350,-0.061227
0.002300,0.057058,0.028007,-0.058663
0.002400,0.060248,0.029972,-0.046323
0.002500,0.066630,0.031373,-0.042957
0.002600,0.063439,0.033933,-0.039592
0.002700,0.066630,0.036252,-0.036947
0.002800,0.063439,0.037911,-0.031899
0.002900,0.060248,0.039650,-0.035345
0.003000,0.057058,0.040955,-0.027652
0.003100,0.069820,0.044514,-0.033502
0.003200,0.066630,0.047123,-0.033902
0.003300,0.060248,0.050472,-0.027331
0.003400,0.057058,0.054225,-0.024607
0.003500,0.063439,0.055835,-0.023004
0.003600,0.066630,0.062116,-0.028373
0.003700,0.060248,0.066931,-0.021241
0.003800,0.063439,0.074580,-0.013709
0.003900,0.060248,0.082745,-0.016033
0.004000,0.063439,0.089702,-0.015231
0.004100,0.060248,0.091023,-0.002971
0.004200,0.063439,0.094501,-0.010263
0.004300,0.063439,0.096144,-0.004253
0.004400,0.063439,0.097110,-0.000246
0.004500,0.060248,0.099107,0.000635
0.004600,0.066630,0.099928,0.009770
0.004700,0.063439,0.100009,0.020027
0.004800,0.057058,0.100991,0.027239
0.004900,0.063439,0.101780,0.033089
0.005000,0.063439,0.103246,0.041022
0.005100,0.063439,0.104486,0.042304
0.005200,0.057058,0.104373,0.040541
