Time (s),Counter (),coil1 (V),coil2 (V)
0.000000,0.060248,-0.100649,-0.087110
0.000100,0.060248,-0.102904,-0.089034
0.000200,0.053867,-0.101761,-0.088713
0.000300,0.053867,-0.100311,-0.091197
0.000400,0.063439,-0.096817,-0.088072
0.000500,0.060248,-0.091341,-0.099691
0.000600,0.057058,-0.092050,-0.092800
0.000700,0.063439,-0.093016,-0.097448
0.000800,0.063439,-0.096076,-0.090316
0.000900,0.063439,-0.094031,-0.091438
0.001000,0.057058,-0.092919,-0.096165
0.001100,0.057058,-0.088909,-0.092880
0.001200,0.060248,-0.084835,-0.093922
0.001300,0.063439,-0.083998,-0.098489
0.001400,0.053867,-0.085222,-0.091518
0.001500,0.053867,-0.086268,-0.086069
0.001600,0.063439,-0.086397,-0.087752
0.001700,0.057058,-0.082806,-0.091197
0.001800,0.053867,-0.079682,-0.094883
0.001900,0.060248,-0.075817,-0.091197
0.002000,0.063439,-0.073820,-0.090075
0.002100,0.063439,-0.073578,-0.082302
0.002200,0.057058,-0.072676,-0.086389
0.002300,0.057058,-0.071066,-0.086950
0.002400,0.057058,-0.067169,-0.085989
0.002500,0.057058,-0.063690,-0.084065
0.002600,0.063439,-0.060550,-0.090957
0.002700,0.060248,-0.057023,-0.079338
0.002800,0.060248,-0.056298,-0.075171
0.002900,0.060248,-0.053673,-0.082222
0.003000,0.050677,-0.051435,-0.080219
0.003100,0.057058,-0.050952,-0.074209
0.003200,0.057058,-0.050082,-0.080219
0.003300,0.063439,-0.047296,-0.076132
0.003400,0.060248,-0.046282,-0.072206
0.003500,0.057058,-0.043544,-0.069962
0.003600,0.066630,-0.042916,-0.073167
0.003700,0.060248,-0.038986,-0.070202
0.003800,0.063439,-0.037102,-0.074530
0.003900,0.060248,-0.035089,-0.070763
0.004000,0.060248,-0.032835,-0.061308
0.004100,0.063439,-0.027279,-0.078456
0.004200,0.053867,-0.022045,-0.068359
0.004300,0.053867,-0.012865,-0.065234
0.004400,0.057058,-0.005361,-0.064593
0.004500,0.057058,0.000163,-0.058343
0.004600,0.057058,0.008666,-0.058423
0.004700,0.053867,0.011565,-0.057381
0.004800,0.060248,0.015897,-0.053935
0.004900,0.063439,0.018489,-0.056099
0.005000,0.063439,0.021630,-0.055057
0.005100,0.057058,0.024174,-0.055057
0.005200,0.057058,0.026896,-0.048006
0.005300,0.057058,0.029070,-0.044079
0.005400,0.060248,0.031196,-0.047925
0.005500,0.060248,0.033402,-0.039511
0.005600,0.053867,0.033611,-0.044800
0.005700,0.057058,0.036204,-0.039431
0.005800,0.066630,0.038056,-0.035264
0.005900,0.050677,0.040842,-0.026610
0.006000,0.066630,0.043966,-0.021081
0.006100,0.063439,0.045995,-0.007619
0.006200,0.066630,0.047783,-0.004574
0.006300,0.066630,0.051761,-0.008740
0.006400,0.057058,0.052517,0.004241
0.006500,0.063439,0.056737,0.008007
0.006600,0.063439,0.061810,0.008488
0.006700,0.063439,0.067849,0.009450
0.006800,0.053867,0.074790,0.017062
0.006900,0.057058,0.083132,0.019306
0.007000,0.063439,0.089267,0.019867
0.007100,0.057058,0.095741,0.022431
0.007200,0.053867,0.096498,0.021870
0.007300,0.053867,0.098495,0.022912
0.007400,0.066630,0.098575,0.026278
0.007500,0.060248,0.100846,0.027480
0.007600,0.053867,0.102070,0.027640
0.007700,0.057058,0.103697,0.034371
0.007800,0.063439,0.106064,0.031647
0.007900,0.060248,0.105162,0.032929
0.008000,0.057058,0.105726,0.045510
0.008100,0.057058,0.107513,0.044308
0.008200,0.060248,0.107465,0.042064
0.008300,0.063439,0.108866,0.051039
0.008400,0.060248,0.107707,0.054565
0.008500,0.053867,0.109526,0.066985
0.008600,0.053867,0.111523,0.070030
0.008700,0.060248,0.113939,0.080448
0.008800,0.057058,0.113858,0.083332
0.008900,0.060248,0.112425,0.086938
0.009000,0.053867,0.110879,0.091586
0.009100,0.063439,0.107996,0.083092
