Time (s),Counter (),coil1 (V),coil2 (V)
0.000000,0.060248,4.285778,3.881497
0.000100,0.053867,4.279115,3.992707
0.000200,0.060248,4.218668,4.059528
0.000300,0.063439,4.135215,4.068822
0.000400,0.053867,4.095869,4.001200
0.000500,0.057058,4.140609,3.892875
0.000600,0.057058,4.218191,3.873646
0.000700,0.063439,4.258648,3.944954
0.000800,0.063439,4.217715,4.043023
0.000900,0.057058,4.122523,4.093180
0.001000,0.053867,4.014796,4.053119
0.001100,0.057058,3.975767,3.991905
0.001200,0.050677,4.022570,3.944954
0.001300,0.053867,4.096503,3.960177
0.001400,0.053867,4.119191,4.036934
0.001500,0.060248,4.083018,4.117697
0.001600,0.057058,3.976560,4.129875
0.001700,0.057058,3.852651,4.061451
0.001800,0.057058,3.791411,3.958254
0.001900,0.057058,3.802834,3.911143
0.002000,0.057058,3.852334,3.980528
0.002100,0.063439,3.854238,4.087251
0.002200,0.063439,3.810925,4.160963
0.002300,0.057058,3.757776,4.137086
0.002400,0.050677,3.720809,4.036934
0.002500,0.053867,3.709703,3.884542
0.002600,0.053867,3.650684,3.683596
0.002700,0.057058,3.747305,3.722375
0.002800,0.057058,3.745877,3.778941
0.002900,0.060248,3.714463,3.815156
0.003000,0.057058,3.658934,3.827976
0.003100,0.063439,3.568660,3.859224
0.003200,0.053867,3.434755,3.909540
0.003300,0.063439,3.268644,3.949601
0.003400,0.060248,3.104278,4.011135
0.003500,0.063439,2.951335,4.093981
0.003600,0.060248,2.815368,4.198299
0.003700,0.060248,2.681781,4.281626
0.003800,0.053867,2.515194,4.331462
0.003900,0.057058,2.284034,4.365914
0.004000,0.053867,1.952605,4.392194
0.004100,0.060248,1.559459,4.343160
0.004200,0.057058,1.181544,4.201825
0.004300,0.063439,0.888985,4.016423
0.004400,0.053867,0.684479,3.844962
0.004500,0.060248,0.543594,3.706511
0.004600,0.060248,0.427459,3.594661
0.004700,0.057058,0.321477,3.452845
0.004800,0.060248,0.215814,3.224338
0.004900,0.063439,0.104597,2.888467
0.005000,0.057058,-0.004082,2.485934
0.005100,0.057058,-0.105303,2.112246
0.005200,0.053867,-0.194784,1.826531
0.005300,0.053867,-0.272525,1.590012
0.005400,0.053867,-0.346299,1.383938
0.005500,0.063439,-0.425944,1.212317
0.005600,0.057058,-0.509396,1.060566
0.005700,0.063439,-0.599829,0.933813
0.005800,0.053867,-0.697085,0.829334
0.005900,0.060248,-0.747854,0.739438
0.006000,0.060248,-0.878585,0.646977
0.006100,0.063439,-1.002653,0.577111
0.006200,0.060248,-1.127356,0.504200
0.006300,0.057058,-1.273318,0.427443
0.006400,0.057058,-1.454501,0.337867
0.006500,0.060248,-1.678680,0.271045
0.006600,0.057058,-1.940936,0.174098
0.006700,0.057058,-2.278870,0.085483
0.006800,0.057058,-2.649170,-0.018515
0.006900,0.057058,-3.000114,-0.125238
0.007000,0.060248,-3.250947,-0.227633
0.007100,0.057058,-3.400875,-0.338682
0.007200,0.057058,-3.490515,-0.470082
0.007300,0.057058,-3.575078,-0.625038
0.007400,0.057058,-3.689309,-0.806113
0.007500,0.063439,-3.863670,-1.031096
0.007600,0.063439,-4.075950,-1.310080
0.007700,0.060248,-4.245869,-1.609095
0.007800,0.053867,-4.357721,-1.909071
0.007900,0.057058,-4.395322,-2.159693
0.008000,0.057058,-4.385485,-2.334839
0.008100,0.057058,-4.337572,-2.465758
0.008200,0.053867,-4.270461,-2.592190
0.008300,0.057058,-4.223499,-2.716539
0.008400,0.057058,-4.213186,-2.846337
0.008500,0.063439,-4.232542,-2.973731
0.008600,0.053867,-4.243965,-3.129167
0.008700,0.057058,-4.197480,-3.308961
0.008800,0.063439,-4.090388,-3.490357
0.008900,0.060248,-3.937603,-3.614546
0.009000,0.066630,-3.843521,-3.666945
0.009100,0.063439,-3.835747,-3.712455
0.009200,0.060248,-3.874142,-3.739536
0.009300,0.060248,-4.141951,-3.933911
0.009400,0.050677,-4.132273,-3.904907
0.009500,0.053867,-4.181456,-3.966281
0.009600,0.063439,-4.168287,-3.963236
0.009700,0.057058,-4.140681,-3.875583
0.009800,0.057058,-4.157816,-3.785686
0.009900,0.057058,-4.235557,-3.767098
0.010000,0.057058,-4.315994,-3.841130
0.010100,0.060248,-4.338048,-3.968844
0.010200,0.063439,-4.297273,-4.037108
0.010300,0.063439,-4.219374,-4.043198
0.010400,0.060248,-4.164955,-3.992080
0.010500,0.063439,-4.184153,-3.889043
0.010600,0.060248,-4.254278,-3.862923
0.010700,0.053867,-4.318692,-3.928623
0.010800,0.057058,-4.307586,-4.033583
0.010900,0.057058,-4.233653,-4.085502
0.011000,0.057058,-4.125292,-4.055536
0.011100,0.060248,-4.056594,-3.986632
0.011200,0.053867,-4.080075,-3.932149
0.011300,0.063439,-4.165431,-3.930386
0.011400,0.053867,-4.214456,-4.024930
0.011500,0.060248,-4.199859,-4.117871
0.011600,0.060248,-4.111330,-4.147036
0.011700,0.060248,-3.986786,-4.085662
0.011800,0.053867,-3.896829,-3.980062
0.011900,0.057058,-3.894291,-3.911798
0.012000,0.057058,-3.953469,-3.969165
0.012100,0.057058,-3.983931,-4.075727
0.012200,0.053867,-3.948392,-4.162259
0.012300,0.057058,-3.890166,-4.162419
0.012400,0.063439,-3.831781,-4.065311
0.012500,0.057058,-3.802747,-3.925098
0.012600,0.053867,-3.740396,-3.719986
0.012700,0.053867,-3.840666,-3.726556
0.012800,0.057058,-3.843680,-3.771585
0.012900,0.060248,-3.814964,-3.809883
0.013000,0.060248,-3.761180,-3.824465
0.013100,0.060248,-3.673920,-3.862283
0.013200,0.066630,-3.545568,-3.928143
0.013300,0.060248,-3.391832,-3.971569
