Time (s),Counter (),coil1 (V),coil2 (V)
0.000000,0.053867,-3.692006,-4.459190
0.000100,0.057058,-3.590467,-4.330835
0.000200,0.060248,-3.454024,-4.149439
0.000300,0.060248,-3.293783,-3.945930
0.000400,0.053867,-3.135922,-3.803153
0.000500,0.060248,-2.990277,-3.762611
0.000600,0.053867,-2.855103,-3.785526
0.000700,0.060248,-2.727863,-3.743862
0.000800,0.063439,-2.562703,-3.604931
0.000900,0.060248,-2.338048,-3.407511
0.001000,0.057058,-2.007730,-3.241178
0.001100,0.060248,-1.619185,-3.144551
0.001200,0.063439,-1.249361,-3.107855
0.001300,0.066630,-0.959499,-3.139583
0.001400,0.060248,-0.741508,-3.196790
0.001500,0.060248,-0.578887,-3.214417
0.001600,0.057058,-0.446252,-3.172433
0.001700,0.057058,-0.328847,-3.146473
0.001800,0.057058,-0.213664,-3.117309
0.001900,0.060248,-0.104986,-3.061705
0.002000,0.063439,0.008135,-3.004978
0.002100,0.060248,0.100472,-2.936074
0.002200,0.063439,0.187097,-2.856593
0.002300,0.060248,0.268169,-2.802590
0.002400,0.053867,0.348290,-2.740576
0.002500,0.063439,0.433329,-2.639943
0.002600,0.053867,0.528522,-2.441401
0.002700,0.053867,0.624349,-2.131490
0.002800,0.060248,0.726364,-1.744982
0.002900,0.057058,0.797600,-1.409431
0.003000,0.050677,0.934519,-1.113942
0.003100,0.057058,1.046529,-0.863961
0.003200,0.057058,1.181068,-0.655164
0.003300,0.053867,1.349559,-0.483382
0.003400,0.066630,1.561997,-0.337721
0.003500,0.060248,1.821715,-0.217538
0.003600,0.063439,2.135851,-0.107451
0.003700,0.060248,2.496155,-0.014509
0.003800,0.053867,2.855983,0.064972
0.003900,0.053867,3.139182,0.148138
0.004000,0.053867,3.303707,0.226978
0.004100,0.053867,3.401120,0.302293
0.004200,0.060248,3.481558,0.363025
0.004300,0.063439,3.576592,0.443468
0.004400,0.060248,3.723506,0.549389
0.004500,0.060248,3.926743,0.704344
0.004600,0.060248,4.141720,0.880292
0.004700,0.057058,4.295615,1.044061
0.004800,0.057058,4.385572,1.171134
0.004900,0.060248,4.418572,1.296125
0.005000,0.060248,4.394298,1.423999
0.005100,0.057058,4.336389,1.584563
0.005200,0.050677,4.277369,1.773972
0.005300,0.053867,4.247225,2.048950
0.005400,0.057058,4.258648,2.376809
0.005500,0.053867,4.285302,2.721333
0.005600,0.066630,4.275624,2.996792
0.005700,0.060248,4.191220,3.105437
0.005800,0.060248,4.034311,3.057204
0.005900,0.060248,3.890570,3.015220
0.006000,0.060248,3.831233,3.012816
0.006100,0.053867,3.877243,3.048390
0.006200,0.063439,3.849002,3.003201
0.006300,0.053867,4.047320,3.149824
0.006400,0.060248,4.148383,3.320805
0.006500,0.060248,4.164884,3.451083
0.006600,0.050677,4.132677,3.541300
0.006700,0.057058,4.125379,3.589053
0.006800,0.060248,4.194552,3.590174
0.006900,0.060248,4.280860,3.592738
0.007000,0.066630,4.328139,3.619819
0.007100,0.063439,4.311639,3.698339
0.007200,0.063439,4.237547,3.818041
0.007300,0.060248,4.162028,3.939185
0.007400,0.053867,4.144100,4.005847
0.007500,0.053867,4.193283,3.977964
0.007600,0.057058,4.272768,3.893356
0.007700,0.057058,4.293235,3.847526
0.007800,0.063439,4.234533,3.902650
0.007900,0.066630,4.128869,4.028121
0.008000,0.066630,4.034787,4.119139
0.008100,0.060248,4.019873,4.157437
0.008200,0.060248,4.078258,4.128914
0.008300,0.050677,4.141879,4.041101
0.008400,0.057058,4.153936,3.987098
0.008500,0.060248,4.090157,4.048632
0.008600,0.057058,3.974657,4.147823
0.008700,0.057058,3.858363,4.214003
0.008800,0.053867,3.815843,4.194774
0.008900,0.047486,3.851382,4.128914
0.009000,0.053867,3.890887,4.063054
0.009100,0.057058,3.880416,4.084206
0.009200,0.063439,3.830598,4.209036
0.009300,0.066630,3.775704,4.376010
0.009400,0.060248,3.744132,4.492026
0.009500,0.053867,3.740483,4.509493
0.009600,0.063439,3.834723,4.576154
0.009700,0.053867,3.790141,4.425685
0.009800,0.057058,3.771420,4.422320
0.009900,0.060248,3.735247,4.482893
0.010000,0.060248,3.668453,4.489302
0.010100,0.060248,3.568501,4.376651
0.010200,0.057058,3.425395,4.196857
0.010300,0.053867,3.255952,4.002481
0.010400,0.060248,3.096345,3.830860
0.010500,0.060248,2.949748,3.762917
0.010600,0.060248,2.816796,3.785992
0.010700,0.063439,2.679560,3.775416
0.010800,0.060248,2.501708,3.652509
0.010900,0.057058,2.248019,3.451403
0.011000,0.060248,1.891047,3.278661
0.011100,0.053867,1.495521,3.150786
0.011200,0.053867,1.145370,3.108161
0.011300,0.057058,0.876768,3.137806
0.011400,0.057058,0.697806,3.189885
0.011500,0.063439,0.562156,3.225940
0.011600,0.063439,0.444593,3.196936
0.011700,0.060248,0.339088,3.157196
0.011800,0.060248,0.227395,3.128512
0.011900,0.057058,0.118082,3.094861
0.012000,0.057058,0.010197,3.034449
0.012100,0.060248,-0.088803,2.968108
0.012200,0.053867,-0.171780,2.894396
