Time (s),Counter (),coil1 (V),coil2 (V)
0.000000,0.063439,-0.105191,-0.055618
0.000100,0.057058,-0.103274,-0.062750
0.000200,0.057058,-0.106688,-0.071805
0.000300,0.060248,-0.109474,-0.080620
0.000400,0.057058,-0.109104,-0.084306
0.000500,0.057058,-0.108653,-0.090877
0.000600,0.053867,-0.106463,-0.089595
0.000700,0.057058,-0.102147,-0.092479
0.000800,0.063439,-0.100553,-0.091918
0.000900,0.057058,-0.100360,-0.094162
0.001000,0.057058,-0.102067,-0.088713
0.001100,0.060248,-0.102115,-0.093281
0.001200,0.063439,-0.101857,-0.097848
0.001300,0.060248,-0.095979,-0.090476
0.001400,0.060248,-0.094047,-0.097688
0.001500,0.057058,-0.092340,-0.091678
0.001600,0.060248,-0.091422,-0.090396
0.001700,0.057058,-0.096462,-0.085107
0.001800,0.057058,-0.095770,-0.086389
0.001900,0.063439,-0.093483,-0.097608
0.002000,0.053867,-0.090133,-0.090075
0.002100,0.057058,-0.086558,-0.094162
0.002200,0.057058,-0.083692,-0.095044
0.002300,0.057058,-0.085270,-0.085989
0.002400,0.057058,-0.085157,-0.090636
0.002500,0.057058,-0.085576,-0.082863
0.002600,0.060248,-0.082903,-0.085187
0.002700,0.063439,-0.079521,-0.092079
0.002800,0.063439,-0.075881,-0.095605
0.002900,0.060248,-0.072709,-0.094563
0.003000,0.063439,-0.073369,-0.092079
0.003100,0.060248,-0.073627,-0.091438
0.003200,0.063439,-0.071614,-0.084626
0.003300,0.057058,-0.069536,-0.077094
0.003400,0.050677,-0.065043,-0.079097
0.003500,0.060248,-0.063111,-0.082783
0.003600,0.063439,-0.058714,-0.081020
0.003700,0.053867,-0.056105,-0.090476
0.003800,0.057058,-0.054801,-0.073328
0.003900,0.063439,-0.052578,-0.064753
0.004000,0.063439,-0.050968,-0.078857
0.004100,0.063439,-0.049647,-0.077575
0.004200,0.066630,-0.049390,-0.079418
0.004300,0.060248,-0.046700,-0.083665
0.004400,0.063439,-0.045654,-0.071404
0.004500,0.057058,-0.043447,-0.071244
0.004600,0.057058,-0.040983,-0.064112
0.004700,0.069820,-0.037875,-0.071244
0.004800,0.057058,-0.036796,-0.062429
0.004900,0.060248,-0.032980,-0.068359
0.005000,0.060248,-0.029260,-0.069161
0.005100,0.057058,-0.022931,-0.070443
0.005200,0.053867,-0.013155,-0.066035
0.005300,0.057058,-0.005377,-0.059304
0.005400,0.066630,0.001693,-0.055859
0.005500,0.066630,0.007120,-0.060026
0.005600,0.060248,0.010421,-0.060106
0.005700,0.063439,0.015043,-0.064032
0.005800,0.060248,0.017426,-0.063231
0.005900,0.060248,0.020003,-0.058263
0.006000,0.057058,0.024883,-0.053615
0.006100,0.060248,0.026187,-0.050650
0.006200,0.060248,0.029569,-0.054016
0.006300,0.057058,0.030777,-0.052653
0.006400,0.060248,0.033241,-0.044159
0.006500,0.057058,0.034127,-0.056500
0.006600,0.057058,0.036349,-0.049208
0.006700,0.057058,0.038153,-0.049608
0.006800,0.060248,0.040455,-0.048566
0.006900,0.060248,0.043757,-0.044560
0.007000,0.060248,0.046011,-0.045201
0.007100,0.063439,0.048508,-0.042396
0.007200,0.053867,0.049989,-0.038470
0.007300,0.057058,0.052872,-0.035745
0.007400,0.063439,0.057139,-0.030216
0.007500,0.063439,0.062196,-0.028293
0.007600,0.057058,0.067961,-0.018837
0.007700,0.057058,0.075305,-0.007298
0.007800,0.057058,0.083776,0.000475
0.007900,0.053867,0.090378,0.003760
0.008000,0.053867,0.094582,0.010892
0.008100,0.057058,0.096981,0.009450
0.008200,0.063439,0.098527,0.024435
0.008300,0.063439,0.100653,0.022111
0.008400,0.063439,0.101056,0.026198
0.008500,0.060248,0.102312,0.024114
0.008600,0.060248,0.104276,0.028602
0.008700,0.057058,0.104534,0.025556
0.008800,0.063439,0.106064,0.027640
0.008900,0.060248,0.105581,0.032849
0.009000,0.060248,0.107272,0.030204
0.009100,0.057058,0.105694,0.035894
0.009200,0.057058,0.107980,0.039419
0.009300,0.060248,0.108608,0.035333
0.009400,0.060248,0.110589,0.035012
0.009500,0.057058,0.110009,0.037496
0.009600,0.060248,0.112489,0.043667
0.009700,0.063439,0.113198,0.046631
0.009800,0.060248,0.112264,0.049837
0.009900,0.057058,0.109977,0.055767
0.010000,0.063439,0.109494,0.056728
0.010100,0.063439,0.108592,0.066905
0.010200,0.060248,0.110509,0.073797
0.010300,0.060248,0.114760,0.081169
0.010400,0.060248,0.114696,0.091025
0.010500,0.057058,0.112119,0.095192
0.010600,0.057058,0.109043,0.088942
0.010700,0.053867,0.103375,0.091746
0.010800,0.057058,0.103503,0.095272
0.010900,0.060248,0.102988,0.094391
0.011000,0.060248,0.104808,0.092708
0.011100,0.053867,0.102489,0.084935
0.011200,0.063439,0.101345,0.099599
0.011300,0.069820,0.096788,0.094230
0.011400,0.057058,0.093841,0.093509
0.011500,0.057058,0.093438,0.094871
0.011600,0.057058,0.096224,0.096634
0.011700,0.060248,0.097207,0.090945
0.011800,0.060248,0.096079,0.085496
0.011900,0.053867,0.092343,0.085256
0.012000,0.063439,0.088349,0.089422
0.012100,0.060248,0.085692,0.086938
0.012200,0.057058,0.084404,0.097516
0.012300,0.053867,0.086755,0.093509
0.012400,0.060248,0.087125,0.087179
0.012500,0.057058,0.086884,0.090945
0.012600,0.060248,0.084935,0.085416
0.012700,0.060248,0.080990,0.092147
0.012800,0.066630,0.077704,0.094311
0.012900,0.057058,0.076013,0.099760
0.013000,0.060248,0.075820,0.091826
0.013100,0.063439,0.075160,0.092387
0.013200,0.057058,0.074113,0.081329
0.013300,0.050677,0.070876,0.075640
0.013400,0.050677,0.065030,0.079326
0.013500,0.053867,0.061681,0.092307
0.013600,0.060248,0.058927,0.084855
0.013700,0.060248,0.056189,0.080848
0.013800,0.057058,0.056463,0.075880
0.013900,0.057058,0.053999,0.076200
0.014000,0.060248,0.052679,0.072755
0.014100,0.057058,0.051084,0.083172
0.014200,0.057058,0.051133,0.077723
0.014300,0.057058,0.050311,0.075479
0.014400,0.063439,0.049345,0.075880
0.014500,0.060248,0.048218,0.076200
0.014600,0.057058,0.043113,0.067867
0.014700,0.063439,0.040665,0.064501
0.014800,0.060248,0.039570,0.068508
0.014900,0.053867,0.037057,0.065863
0.015000,0.057058,0.031502,0.069549
0.015100,0.053867,0.023160,0.070431
0.015200,0.060248,0.017056,0.059212
0.015300,0.060248,0.008022,0.064100
0.015400,0.060248,0.000791,0.065463
0.015500,0.060248,-0.002800,0.062898
0.015600,0.053867,-0.006569,0.058972
0.015700,0.060248,-0.009468,0.060815
0.015800,0.063439,-0.013558,0.065142
0.015900,0.063439,-0.015893,0.062818
