Time (s)	Counter ()	ยว 2 (mm)
0	14.995565	30.026133
0.0002	14.993015	30.023073
0.0004	14.994927	30.029192
0.0006	14.99684	30.024603
0.0008	14.994927	30.026133
0.001	14.995565	30.023073
0.0012	14.997478	30.026133
0.0014	14.999391	30.018484
0.0016	14.994927	30.027662
0.0018	14.99429	30.016954
0.002	14.99174	30.021544
0.0022	14.993015	30.027662
0.0024	14.995565	30.021544
0.0026	14.99429	30.029192
0.0028	14.99684	30.027662
0.003	14.995565	30.023073
0.0032	14.994927	30.024603
0.0034	14.997478	30.023073
0.0036	14.996202	30.021544
0.0038	14.995565	30.024603
0.004	14.993015	30.020014
0.0042	14.996202	30.018484
0.0044	14.992377	30.029192
0.0046	14.996202	30.021544
0.0048	14.994927	30.020014
0.005	14.998753	30.029192
0.0052	14.99429	30.023073
0.0054	14.997478	30.026133
0.0056	14.993015	30.020014
0.0058	14.998753	30.020014
0.006	14.994927	30.023073
0.0062	14.998116	30.021544
0.0064	14.990465	30.024603
0.0066	14.99684	30.021544
0.0068	14.996202	30.026133
0.007	14.997478	30.020014
0.0072	14.993015	29.968006
0.0074	14.993015	29.238365
0.0076	14.996202	29.241425
0.0078	14.994927	28.551556
0.008	14.993015	27.932049
0.0082	14.997478	27.508337
0.0084	14.993652	27.228413
0.0086	14.996202	27.234531
0.0088	14.994927	27.168756
0.009	14.997478	27.509867
0.0092	14.993015	27.860155
0.0094	14.99429	28.349642
0.0096	14.992377	28.363409
0.0098	14.997478	29.143528
0.01	14.993015	29.975655
0.0102	14.996202	30.023073
0.0104	14.993652	30.024603
0.0106	14.994927	30.023073
0.0108	14.99429	30.024603
0.011	14.996202	30.023073
0.0112	14.995565	30.024603
0.0114	14.99684	30.020014
0.0116	14.996202	30.024603
0.0118	14.99429	30.015425
0.012	14.992377	30.023073
0.0122	14.998116	30.029192
0.0124	14.993652	30.018484
0.0126	14.99684	30.024603
0.0128	14.99429	30.026133
0.013	14.998116	30.023073
0.0132	14.99684	30.024603
0.0134	14.993652	30.03684
0.0136	14.99429	30.023073
0.0138	14.999391	30.032251
0.014	14.99684	30.030722
0.0142	14.994927	30.023073
0.0144	14.99174	30.015425
0.0146	14.99174	30.027662
0.0148	14.99429	30.029192
0.015	14.999391	30.027662
0.0152	14.992377	30.013895
0.0154	14.99429	30.016954
0.0156	14.997478	30.030722
0.0158	14.996202	30.020014
0.016	14.992377	30.018484
0.0162	14.99684	30.027662
0.0164	14.992377	30.029192
0.0166	14.998116	30.026133
0.0168	14.992377	30.027662
0.017	14.994927	30.026133
0.0172	14.994927	29.972595
0.0174	14.997478	29.088461
0.0176	14.993652	29.083872
0.0178	14.995565	28.215033
0.018	14.992377	27.849447
0.0182	14.99429	27.36455
0.0184	14.99429	27.158049
0.0186	14.998116	27.15346
0.0188	14.99429	27.164167
0.019	14.99429	27.508337
0.0192	14.99429	28.002413
0.0194	14.994927	28.421535
0.0196	14.997478	28.436832
0.0198	14.998116	29.288843
0.02	14.997478	29.974125
0.0202	14.99429	30.023073
0.0204	14.99684	30.026133
0.0206	14.994927	30.018484
0.0208	14.99429	30.021544
0.021	14.996202	30.021544
0.0212	14.993015	30.024603
0.0214	14.99429	30.020014
0.0216	14.994927	30.026133
0.0218	14.994927	30.020014
0.022	14.994927	30.015425
0.0222	14.99684	30.021544
0.0224	14.989827	30.027662
0.0226	14.999391	30.027662
0.0228	14.99429	30.030722
0.023	14.997478	30.020014
0.0232	14.991102	30.027662
0.0234	14.997478	30.020014
0.0236	14.99429	30.020014
0.0238	14.99684	30.027662
0.024	14.992377	30.021544
0.0242	14.996202	30.021544
0.0244	14.992377	30.027662
0.0246	14.99684	30.030722
0.0248	14.99429	30.026133
0.025	14.994927	30.026133
0.0252	14.993652	30.029192
0.0254	14.997478	30.027662
0.0256	14.994927	30.030722
0.0258	14.993652	30.020014
0.026	14.994927	30.023073
0.0262	14.998116	30.032251
0.0264	14.99429	30.018484
0.0266	14.993015	30.021544
0.0268	14.992377	30.024603
0.027	14.99684	30.016954
0.0272	14.996202	29.556532
0.0274	14.994927	28.712168
0.0276	14.995565	28.704519
0.0278	14.993015	27.71484
0.028	14.996202	27.376787
0.0282	14.997478	27.02191
0.0284	14.996202	26.602787
0.0286	14.994927	26.601257
0.0288	14.993015	26.596668
0.029	14.995565	26.815409
0.0292	14.99429	27.223824
0.0294	14.994927	27.863214
0.0296	14.99684	27.864744
0.0298	14.993652	28.628036
0.03	14.99684	29.60548
0.0302	14.995565	30.023073
0.0304	14.995565	30.026133
0.0306	14.998116	30.024603
0.0308	14.994927	30.020014
0.031	14.995565	30.021544
0.0312	14.993015	30.023073
0.0314	14.995565	30.024603
0.0316	14.993015	30.024603
0.0318	14.996202	30.023073
0.032	14.99429	30.018484
0.0322	14.994927	30.020014
0.0324	14.99684	30.026133
0.0326	14.994927	30.023073
0.0328	14.994927	30.024603
0.033	14.99429	30.021544
0.0332	14.993652	30.020014
0.0334	14.996202	30.020014
0.0336	14.996202	30.027662
0.0338	14.99684	30.016954
0.034	14.993652	30.029192
0.0342	14.99684	30.020014
0.0344	14.995565	30.021544
0.0346	14.997478	30.026133
0.0348	14.996202	30.024603
0.035	14.996202	30.023073
0.0352	14.99429	30.024603
0.0354	14.99429	30.024603
0.0356	14.995565	30.020014
0.0358	14.99429	30.023073
0.036	14.990465	30.023073
0.0362	14.995565	30.027662
0.0364	14.997478	30.024603
0.0366	14.994927	30.021544
0.0368	14.998116	30.018484
0.037	14.994927	30.023073
0.0372	14.995565	29.449457
0.0374	14.99684	28.432243
0.0376	14.993652	28.426125
0.0378	14.996202	27.580231
0.038	14.993015	27.087685
0.0382	14.995565	26.815409
0.0384	14.998116	26.302977
0.0386	14.996202	26.306036
0.0388	14.99684	26.231083
0.039	14.995565	26.598198
0.0392	14.994927	27.02191
0.0394	14.993015	27.653654
0.0396	14.995565	27.656713
0.0398	14.99429	28.563791
0.04	14.995565	29.454046
0.0402	14.995565	30.021544
0.0404	14.996202	30.026133
0.0406	14.998116	30.020014
0.0408	14.993652	30.021544
0.041	14.995565	30.020014
0.0412	14.998753	30.027662
0.0414	14.994927	30.020014
0.0416	14.994927	30.027662
0.0418	14.99429	30.024603
0.042	14.996202	30.016954
0.0422	14.99684	30.026133
0.0424	14.996202	30.024603
0.0426	14.992377	30.027662
0.0428	14.998753	30.018484
0.043	14.994927	30.030722
0.0432	14.994927	30.018484
0.0434	14.993652	30.027662
0.0436	14.995565	30.023073
0.0438	14.995565	30.018484
0.044	14.996202	30.018484
0.0442	14.995565	30.018484
0.0444	14.995565	30.018484
0.0446	14.994927	30.026133
0.0448	14.998116	30.023073
0.045	14.99429	30.023073
0.0452	14.99429	30.021544
0.0454	14.994927	30.027662
0.0456	14.993652	30.023073
0.0458	14.994927	30.026133
0.046	14.993652	30.023073
0.0462	14.996202	30.027662
0.0464	15.000028	30.015425
0.0466	14.994927	30.024603
0.0468	14.993652	30.023073
0.047	14.996202	30.029192
0.0472	14.995565	29.501465
0.0474	14.994927	28.57144
0.0476	14.995565	28.563791
0.0478	14.993652	27.586349
0.048	15.000028	27.086155
0.0482	14.99429	26.601257
0.0484	14.99684	26.220377
0.0486	14.996202	26.218847
0.0488	14.99429	26.143894
0.049	14.99429	26.390167
0.0492	14.996202	26.813879
0.0494	14.993652	27.36455
0.0496	14.99174	27.370668
0.0498	14.997478	28.215033
