Time (s)	Counter ()	?? 2 (mm)
0	14.993015	30.067432
0.0002	14.996202	30.067432
0.0004	14.992377	30.067432
0.0006	14.995565	30.067432
0.0008	14.993652	30.065903
0.001	14.99429	30.070492
0.0012	14.994927	30.072021
0.0014	14.995565	30.068962
0.0016	14.998116	30.070492
0.0018	14.99429	30.07814
0.002	14.99429	30.064373
0.0022	14.996202	30.065903
0.0024	14.997478	30.067432
0.0026	14.995565	30.059784
0.0028	14.996202	30.058256
0.003	14.995565	30.068962
0.0032	14.998753	30.010836
0.0034	14.995565	29.057867
0.0036	14.996202	27.512926
0.0038	14.99429	26.361103
0.004	14.995565	26.197432
0.0042	14.99429	24.932415
0.0044	14.99429	24.032984
0.0046	14.995565	23.604683
0.0048	14.997478	23.330877
0.005	14.994927	23.27887
0.0052	14.998753	23.087664
0.0054	14.994927	22.951525
0.0056	14.99429	22.806208
0.0058	14.996202	22.936228
0.006	14.995565	22.957644
0.0062	14.993652	23.118256
0.0064	14.993652	23.310991
0.0066	14.995565	23.642925
0.0068	14.996202	24.048281
0.007	14.993652	24.124762
0.0072	14.993015	25.102205
0.0074	14.992377	26.37487
0.0076	14.993015	27.727076
0.0078	14.996202	29.076223
0.008	14.995565	29.694201
0.0082	14.993015	30.061314
0.0084	14.994927	30.062843
0.0086	14.996202	30.067432
0.0088	14.993652	30.065903
0.009	14.996202	30.070492
0.0092	14.99684	30.073551
0.0094	14.994927	30.065903
0.0096	14.99429	30.068962
0.0098	14.997478	30.067432
0.01	14.993652	30.072021
0.0102	14.99684	30.075081
0.0104	14.99429	30.064373
0.0106	14.99684	30.065903
0.0108	14.993652	30.065903
0.011	14.997478	30.062843
0.0112	14.994927	30.064373
0.0114	14.99684	30.067432
0.0116	14.993652	30.059784
0.0118	14.998116	30.067432
0.012	14.992377	30.062843
0.0122	14.994927	30.068962
0.0124	14.99429	30.064373
0.0126	14.996202	30.067432
0.0128	14.994927	30.067432
0.013	14.995565	30.073551
0.0132	14.995565	30.073551
0.0134	14.994927	29.218481
0.0136	14.996202	27.728605
0.0138	14.99174	26.680799
0.014	14.994927	26.576784
0.0142	14.99684	25.186337
0.0144	14.994927	24.146177
0.0146	14.991102	23.736233
0.0148	14.99429	23.434893
0.015	14.993015	23.376766
0.0152	14.995565	23.213095
0.0154	14.990465	22.991295
0.0156	14.99684	22.934698
0.0158	14.996202	23.012711
0.016	14.996202	23.028008
0.0162	14.993652	23.151909
0.0164	14.997478	23.378296
0.0166	14.993015	23.629158
0.0168	14.99429	24.037573
0.017	14.99429	24.104877
0.0172	14.994927	25.184807
0.0174	14.99429	26.361103
0.0176	14.997478	27.720959
0.0178	14.992377	28.978327
0.018	14.993652	29.602421
0.0182	14.99684	30.062843
0.0184	14.995565	30.068962
0.0186	14.992377	30.073551
0.0188	14.99684	30.068962
0.019	14.994927	30.067432
0.0192	14.999391	30.075081
0.0194	14.993652	30.064373
0.0196	14.993652	30.062843
0.0198	14.99429	30.068962
0.02	14.993015	30.067432
0.0202	15.000666	30.070492
0.0204	14.995565	30.07967
0.0206	14.993652	30.061314
0.0208	14.997478	30.072021
0.021	14.996202	30.065903
0.0212	14.995565	30.070492
0.0214	14.99684	30.068962
0.0216	14.993652	30.072021
0.0218	14.993015	30.068962
0.022	14.99429	30.073551
0.0222	14.996202	30.070492
0.0224	14.993015	30.068962
0.0226	14.99684	30.067432
0.0228	14.993652	30.061314
0.023	14.995565	30.068962
0.0232	14.994927	30.064373
0.0234	14.995565	29.281195
0.0236	14.993652	27.870863
0.0238	14.994927	26.786345
0.024	14.99429	26.662443
0.0242	14.99684	25.351538
0.0244	14.996202	24.277727
0.0246	14.99684	23.768354
0.0248	14.992377	23.5282
0.025	14.994927	23.480782
0.0252	14.994927	23.280399
0.0254	14.993652	23.089193
0.0256	14.996202	22.994354
0.0258	14.99429	23.043304
0.026	14.997478	23.049421
0.0262	14.99429	23.245216
0.0264	14.999391	23.441011
0.0266	14.991102	23.727055
0.0268	14.995565	24.127821
0.027	14.993652	24.208893
0.0272	14.994927	25.264347
0.0274	14.993652	26.579844
0.0276	14.996202	27.935108
0.0278	14.99429	29.163412
0.028	14.997478	29.657488
0.0282	14.996202	30.065903
0.0284	14.996202	30.072021
0.0286	14.993015	30.072021
0.0288	14.994927	30.067432
0.029	14.993652	30.072021
0.0292	14.994927	30.058256
0.0294	14.993015	30.075081
0.0296	14.998753	30.072021
0.0298	14.99684	30.073551
0.03	14.996202	30.070492
0.0302	14.99684	30.070492
0.0304	14.996202	30.068962
0.0306	14.996202	30.067432
0.0308	14.992377	30.062843
0.031	14.997478	30.075081
0.0312	14.993015	30.064373
0.0314	14.99684	30.068962
0.0316	14.992377	30.070492
0.0318	14.995565	30.072021
0.032	14.99174	30.070492
0.0322	14.993015	30.073551
0.0324	14.993652	30.064373
0.0326	14.997478	30.064373
0.0328	14.993652	30.062843
0.033	14.998116	30.065903
0.0332	14.994927	30.062843
0.0334	14.994927	29.377563
0.0336	14.996202	28.234919
0.0338	14.994927	26.966843
0.034	14.993015	26.793993
0.0342	14.998753	25.516739
0.0344	14.99429	24.332794
0.0346	14.994927	23.83107
0.0348	14.993652	23.601624
0.035	14.99684	23.545027
0.0352	14.99174	23.312521
0.0354	14.998116	23.115196
0.0356	14.99174	23.028008
0.0358	14.995565	23.049421
0.036	14.995565	23.05401
0.0362	14.994927	23.248276
0.0364	14.99429	23.444071
0.0366	14.995565	23.704111
0.0368	14.994927	24.05287
0.037	14.996202	24.141588
0.0372	14.99429	25.096087
0.0374	14.991102	26.443705
0.0376	14.997478	27.650595
0.0378	14.993652	28.987503
0.038	14.995565	30.029192
0.0382	14.99429	30.070492
0.0384	14.994927	30.070492
0.0386	14.992377	30.068962
